title_length,tag_count,has_tags,like_ratio,comment_density,like_per_view,dislike_per_view,publish_hour,category_code,views
31,40,1,0.9782664916474346,0.00925200632428548,0.05588152701617157,0.0012414832767411827,23,9,67661
54,2,1,0.959560941885841,0.0016720038539921216,0.011767789836783534,0.000495933346523087,5,5,141148
20,4,1,0.9310861388348833,0.005375583533195685,0.025119738089331715,0.001859224379902267,6,7,98966
46,28,1,0.9046587204710982,0.0073064702581559565,0.026010480336353392,0.0027412242749689803,18,0,288922
57,13,1,0.9821162370930235,0.0054609470392606545,0.09470431839138872,0.00172450959134547,15,2,13917
33,15,1,0.9651367381446971,0.005630994897024237,0.0633684967939741,0.0022890357333448467,23,8,605932
50,14,1,0.9772855516686152,0.009882978535590446,0.12116706604607967,0.002816211582708074,15,2,57169
17,6,1,0.9807097343390179,0.007519915379050025,0.08906554720373755,0.0017518923740204454,17,2,60506
65,10,1,0.9221556610133036,0.011872933732392428,0.00885439125805537,0.0007474486126929858,21,10,34785
51,0,0,0.5833328472226273,0.008465608376025308,0.007407407329022145,0.005291005235015818,15,4,945
75,9,1,0.4957237055246707,0.022794140041336636,0.04625224621428891,0.04705022385870769,16,2,328330
75,44,1,0.7152498783299858,0.0027877017189439843,0.013863754582144887,0.005519337928456693,15,7,321053
48,17,1,0.95279397100731,0.0014830357191797504,0.023004218412554418,0.0011397404138140674,0,11,1456472
65,27,1,0.9904347797378702,0.002290819540362691,0.04892331480887072,0.00047248153019980503,13,9,69844
50,3,1,0.4540747400853788,0.0015133308023841672,0.0021094597293772393,0.0025361625402775434,18,4,956169
54,8,1,0.6603772338910879,0.004158459172338676,0.007660319527992297,0.003939592900110324,2,4,4569
55,28,1,0.9410960037843856,0.004062313910410738,0.022199232809737627,0.001389468784858264,23,9,2045386
85,26,1,0.9866666665684175,0.006404713869373121,0.053781142242432634,0.0007267721924653058,19,9,1842393
58,8,1,0.9715639349969699,0.0023173180869499183,0.031670013854982214,0.0009269272347799672,15,10,6473
57,31,1,0.9483831222985013,0.0010528199783018319,0.014736608369012095,0.0008020574016517592,15,4,1044813
60,17,1,0.9267910949435494,0.0012015277090206302,0.019906736818074474,0.0015724691493894153,15,2,9548677
72,12,1,0.9709387960748108,0.002313992550450417,0.03679045173413492,0.001101176279490659,18,7,197062
71,14,1,0.9855675140743839,0.00040435094988785543,0.010771107286599467,0.00015773028789013864,19,9,1496225
48,20,1,0.9818493133872443,0.0032288418603523537,0.0352651032900198,0.0006519185470425705,20,4,162597
98,9,1,0.724137681331834,0.007008322375155144,0.0022996057793477818,0.000876040296894393,15,10,9132
27,18,1,0.9175256786056001,0.003028217476905413,0.012250516156571899,0.0011011699916019684,0,1,7265
29,10,1,0.959780192961791,0.0036420127777843387,0.028151867130726586,0.0011797103536325918,6,9,291597
40,26,1,0.9644808734082525,0.0034937981642603083,0.035202767527099194,0.001296419200714701,15,13,290801
94,34,1,0.7999998769230958,0.012820512796341417,0.009803921550143436,0.002450980387535859,15,10,5304
38,6,1,0.9315130118592494,0.00615126348273571,0.03312796301816669,0.0024356443442044755,15,9,812516
34,4,1,0.9742953301662352,0.002425338544712023,0.043813116503109,0.0011559140802020638,5,2,2642930
58,10,1,0.9012796910186529,0.0033029374247270137,0.004692645966542991,0.000514001789438786,13,10,105058
53,10,1,0.952221192790119,0.001803929590920768,0.015307365425637981,0.0007680648670621414,19,9,537715
45,25,1,0.9904750462526193,0.0023833728679456814,0.04205827803936679,0.0004044555700075992,1,7,2744430
39,27,1,0.9358987262641091,0.0019082400951919132,0.0359956975259703,0.002465405703510276,18,8,3358068
68,8,1,0.9712918195554153,0.006973795420596375,0.04289940819336558,0.0012679628037447954,17,9,4732
45,9,1,0.8445728672423594,0.0013120603943637572,0.007707230173917963,0.0014183651082440574,7,11,7224515
43,10,1,0.9872632167779282,0.002537524137456705,0.04874544880620336,0.0006288699950140743,11,2,33523622
54,12,1,0.9227272689143501,0.0048487383763669185,0.042459736448734624,0.0035557414760024066,3,0,52591
56,28,1,0.9529599969505279,0.0032048745742390234,0.0392761995147482,0.0019387512856507674,23,9,75822
74,12,1,0.9342977641091154,0.023584581945880225,0.03545693697004302,0.0024934233095062507,17,9,43715
51,11,1,0.9695121946166811,0.005740962507542507,0.061202937265222496,0.0019246206687176886,17,2,303956
61,32,1,0.3110115232893578,0.009742586205765827,0.010178383610238793,0.022548325321817598,12,9,238643
64,8,1,0.9624365433378855,0.00109562718330704,0.007989650536731337,0.0003118323521720037,12,13,237307
66,7,1,0.9560417245866749,0.001318607967937641,0.029373532551296863,0.0013505789476451768,14,2,1282413
45,26,1,0.9777385375684313,0.0007238639376146556,0.010353124067138024,0.0002357232195368758,9,9,1497519
76,13,1,0.8830845551471505,0.0012008689432892428,0.002394991431840906,0.00031708337266626077,20,8,148226
33,12,1,0.9516339865393653,0.0038373762094274424,0.048113840783004146,0.002445346303531804,2,11,484185
33,13,1,0.7512469972739266,0.009683417770462634,0.02705435820239526,0.00895824254752864,20,11,300617
